review,rating,date,bank,source,sentiment_label,sentiment_score,cleaned_review,lemmatized,topic,theme
"it's great app,i love this app",5,2025-11-20,CBE,Google Play Store,POSITIVE,0.9998750686645508,its great appi love this app,great appi love app,4,App Performance (Speed & Quality)
suckkkks,1,2025-11-19,CBE,Google Play Store,NEGATIVE,0.9737536311149596,suckkkks,suckkkks,0,App Malfunction & Technical Bugs
not allowing to transfer and showing current statement updates.,1,2025-11-19,CBE,Google Play Store,NEGATIVE,0.9991471767425536,not allowing to transfer and showing current statement updates,allow transfer show current statement update,1,Transaction & Service Reliability Issues
i love you this app,5,2025-11-19,CBE,Google Play Store,POSITIVE,0.9998642206192015,i love you this app,love app,3,Highly Positive Feedback & Brand Perception
"fast and convenient app, thanks for your dedication as a bank to provide good options to your cuatomers.",1,2025-11-19,CBE,Google Play Store,POSITIVE,0.9993645548820496,fast and convenient app thanks for your dedication as a bank to provide good options to your cuatomers,fast convenient app thank dedication bank provide good option cuatomer,3,Highly Positive Feedback & Brand Perception
make life easy,5,2025-11-19,CBE,Google Play Store,POSITIVE,0.999527096748352,make life easy,life easy,1,Transaction & Service Reliability Issues
securr,5,2025-11-19,CBE,Google Play Store,NEGATIVE,0.989194393157959,securr,securr,0,App Malfunction & Technical Bugs
my most optional bank,5,2025-11-17,CBE,Google Play Store,POSITIVE,0.7555266618728638,my most optional bank,optional bank,3,Highly Positive Feedback & Brand Perception
5 star,5,2025-11-16,CBE,Google Play Store,POSITIVE,0.9964116215705872,star,star,2,"User Experience, Features & Security"
it is fantastic app.,5,2025-11-16,CBE,Google Play Store,POSITIVE,0.9998733997344972,it is fantastic app,fantastic app,4,App Performance (Speed & Quality)
sifen,5,2025-11-16,CBE,Google Play Store,NEGATIVE,0.8473550081253052,sifen,sifen,0,App Malfunction & Technical Bugs
i like this√,4,2025-11-16,CBE,Google Play Store,POSITIVE,0.9998555183410645,i like this√,like,4,App Performance (Speed & Quality)
ok,3,2025-11-16,CBE,Google Play Store,POSITIVE,0.9997851252555848,ok,ok,3,Highly Positive Feedback & Brand Perception
ጥሩ app ነዉ ። የኔ የግል አስተያየት- update ወይንም cache cleaning app ሲደረግ ለምንድነዉ ደግመን login ስናደርግ restricted ሚያደርገዉ ቢስተካከል እንደ ሀሳብ ጥሩ ነዉ። በዛላይ ድጋሚ አክቲቬት ለማስደረግ ከፍለን ..,5,2025-11-15,CBE,Google Play Store,NEGATIVE,0.9916301369667052,ጥሩ app ነዉ ። የኔ የግል አስተያየት update ወይንም cache cleaning app ሲደረግ ለምንድነዉ ደግመን login ስናደርግ restricted ሚያደርገዉ ቢስተካከል እንደ ሀሳብ ጥሩ ነዉ። በዛላይ ድጋሚ አክቲቬት ለማስደረግ ከፍለን,ጥሩ app ነዉ የኔ የግል አስተያየት update ወይንም cache clean app ሲደረግ ለምንድነዉ ደግመን login ስናደርግ restrict ሚያደርገዉ ቢስተካከል እንደ ሀሳብ ጥሩ በዛላይ ድጋሚ አክቲቬት ለማስደረግ ከፍለን,4,App Performance (Speed & Quality)
"seriously, what’s going on with this app? the ""pay to beneficiary"" option is completely disabled for android users, yet ios users get full access without restrictions. why are android users being treated like second class customers? it’s the same app, the same service, but clearly not the same experience. this kind of platform bias is unacceptable, either give everyone the same features or be transparent about why you’re limiting functionality. right now, it just feels unfair and frustrating.",1,2025-11-15,CBE,Google Play Store,NEGATIVE,0.9996232986450196,seriously what’s going on with this app the pay to beneficiary option is completely disabled for android users yet ios users get full access without restrictions why are android users being treated like second class customers it’s the same app the same service but clearly not the same experience this kind of platform bias is unacceptable either give everyone the same features or be transparent about why you’re limiting functionality right now it just feels unfair and frustrating,seriously go app pay beneficiary option completely disabled android user ios user access restriction android user treat like second class customer app service clearly experience kind platform bias unacceptable feature transparent limit functionality right feel unfair frustrating,2,"User Experience, Features & Security"
like,5,2025-11-13,CBE,Google Play Store,POSITIVE,0.9910564422607422,like,like,4,App Performance (Speed & Quality)
nice and very useful app i like it!,5,2025-11-13,CBE,Google Play Store,POSITIVE,0.999858856201172,nice and very useful app i like it,nice useful app like,4,App Performance (Speed & Quality)
smart app,4,2025-11-12,CBE,Google Play Store,POSITIVE,0.999789297580719,smart app,smart app,4,App Performance (Speed & Quality)
sync problem may 22 2025 but the date stack on may 8 2025 help pls,5,2025-11-12,CBE,Google Play Store,NEGATIVE,0.992516815662384,sync problem may but the date stack on may help pls,sync problem date stack help pls,1,Transaction & Service Reliability Issues
cbe is my choice,4,2025-11-11,CBE,Google Play Store,POSITIVE,0.9987378716468812,cbe is my choice,cbe choice,3,Highly Positive Feedback & Brand Perception
awesome,5,2025-11-11,CBE,Google Play Store,POSITIVE,0.9998682737350464,awesome,awesome,4,App Performance (Speed & Quality)
i am not able to transfer. the app is not responding,1,2025-11-11,CBE,Google Play Store,NEGATIVE,0.999775230884552,i am not able to transfer the app is not responding,able transfer app respond,1,Transaction & Service Reliability Issues
very convenient app,5,2025-11-11,CBE,Google Play Store,POSITIVE,0.994573414325714,very convenient app,convenient app,3,Highly Positive Feedback & Brand Perception
excellent but sometimes can not connect,5,2025-11-10,CBE,Google Play Store,NEGATIVE,0.9832204580307008,excellent but sometimes can not connect,excellent connect,2,"User Experience, Features & Security"
wow apk,5,2025-11-10,CBE,Google Play Store,POSITIVE,0.9992477893829346,wow apk,wow apk,3,Highly Positive Feedback & Brand Perception
best 100 %,5,2025-11-10,CBE,Google Play Store,POSITIVE,0.9998010993003844,best,well,2,"User Experience, Features & Security"
bad app,1,2025-11-10,CBE,Google Play Store,NEGATIVE,0.9997212290763856,bad app,bad app,1,Transaction & Service Reliability Issues
best app,5,2025-11-10,CBE,Google Play Store,POSITIVE,0.999686598777771,best app,good app,4,App Performance (Speed & Quality)
nice app,5,2025-11-10,CBE,Google Play Store,POSITIVE,0.9998061060905457,nice app,nice app,0,App Malfunction & Technical Bugs
the app constantly glitches and won't stop loading despite having a decent connection and a cleared cache. telebirr is way better,1,2025-11-10,CBE,Google Play Store,POSITIVE,0.8869743943214417,the app constantly glitches and wont stop loading despite having a decent connection and a cleared cache telebirr is way better,app constantly glitche will not stop load despite have decent connection clear cache telebirr way well,1,Transaction & Service Reliability Issues
i can't access it properly i think it needs update,1,2025-11-10,CBE,Google Play Store,NEGATIVE,0.9996213912963868,i cant access it properly i think it needs update,not access properly think need update,0,App Malfunction & Technical Bugs
👌👌,5,2025-11-10,CBE,Google Play Store,NEGATIVE,0.6970565915107727,👌👌,,0,App Malfunction & Technical Bugs
best 👌,5,2025-11-10,CBE,Google Play Store,POSITIVE,0.9997019171714784,best 👌,good,4,App Performance (Speed & Quality)
not refresh,2,2025-11-10,CBE,Google Play Store,NEGATIVE,0.999051868915558,not refresh,refresh,1,Transaction & Service Reliability Issues
your statement is not used as wanted,1,2025-11-10,CBE,Google Play Store,NEGATIVE,0.99908447265625,your statement is not used as wanted,statement want,1,Transaction & Service Reliability Issues
good very good,5,2025-11-09,CBE,Google Play Store,POSITIVE,0.9998477697372437,good very good,good good,4,App Performance (Speed & Quality)
this is absolute trash why because it's not woking most time the servers are down even though i'm using 4g data internet they steal not working they use to work with out even data package now it's trash can't even send money,1,2025-11-09,CBE,Google Play Store,NEGATIVE,0.9997031092643738,this is absolute trash why because its not woking most time the servers are down even though im using g data internet they steal not working they use to work with out even data package now its trash cant even send money,absolute trash woke time server m g datum internet steal work use work datum package trash not send money,1,Transaction & Service Reliability Issues
bayeee galatooma kana caalati nu gammachisa 🌏🤌🏻💴💸🥰👌🏻🙏🏻,5,2025-11-08,CBE,Google Play Store,NEGATIVE,0.98004812002182,bayeee galatooma kana caalati nu gammachisa 🌏🤌🏻💴💸🥰👌🏻🙏🏻,bayeee galatooma kana caalati nu gammachisa,0,App Malfunction & Technical Bugs
good !,5,2025-11-08,CBE,Google Play Store,POSITIVE,0.9998268485069276,good,good,4,App Performance (Speed & Quality)
i like it,5,2025-11-08,CBE,Google Play Store,POSITIVE,0.99985933303833,i like it,like,4,App Performance (Speed & Quality)
very nice app,5,2025-11-08,CBE,Google Play Store,POSITIVE,0.9998562335968018,very nice app,nice app,0,App Malfunction & Technical Bugs
the app is not functional this week.,4,2025-11-08,CBE,Google Play Store,NEGATIVE,0.9996664524078368,the app is not functional this week,app functional week,1,Transaction & Service Reliability Issues
very updated bank,5,2025-11-05,CBE,Google Play Store,POSITIVE,0.999656081199646,very updated bank,update bank,0,App Malfunction & Technical Bugs
tankyu,5,2025-11-05,CBE,Google Play Store,POSITIVE,0.8404368162155151,tankyu,tankyu,0,App Malfunction & Technical Bugs
numbers 2 and 3 don't write during pin verification.,5,2025-11-05,CBE,Google Play Store,NEGATIVE,0.986690640449524,numbers and dont write during pin verification,number not write pin verification,0,App Malfunction & Technical Bugs
"once it is uninstalled, you need to visit a nearby bank. you go there and they ask you to have a new sim card which hasn't been used before. so you should buy a new sim card and you go back to them with a new sim card, when you reach there service provider says authentication pin is not arrive, the system is not working come back tomorrow.",1,2025-11-05,CBE,Google Play Store,NEGATIVE,0.9989122152328492,once it is uninstalled you need to visit a nearby bank you go there and they ask you to have a new sim card which hasnt been used before so you should buy a new sim card and you go back to them with a new sim card when you reach there service provider says authentication pin is not arrive the system is not working come back tomorrow,uninstalled need visit nearby bank ask new sim card not buy new sim card new sim card reach service provider say authentication pin arrive system work come tomorrow,0,App Malfunction & Technical Bugs
loved it,5,2025-11-05,CBE,Google Play Store,POSITIVE,0.9998797178268432,loved it,love,3,Highly Positive Feedback & Brand Perception
this app is not working on my phone,5,2025-11-03,CBE,Google Play Store,NEGATIVE,0.9996734857559204,this app is not working on my phone,app work phone,0,App Malfunction & Technical Bugs
cbe needs to show transaction fees before the transaction is confirmed and not after. this is a big issue as fees are no longer insignificant.,3,2025-11-03,CBE,Google Play Store,NEGATIVE,0.964024543762207,cbe needs to show transaction fees before the transaction is confirmed and not after this is a big issue as fees are no longer insignificant,cbe need transaction fee transaction confirm big issue fee long insignificant,1,Transaction & Service Reliability Issues
"after the recent updates, i am unable to download a receipt. i can't see the names of account holders i've previously transacted with. very important. please fix it asap.",1,2025-11-03,CBE,Google Play Store,NEGATIVE,0.9985938668251038,after the recent updates i am unable to download a receipt i cant see the names of account holders ive previously transacted with very important please fix it asap,recent update unable download receipt not name account holder ve previously transact important fix asap,0,App Malfunction & Technical Bugs
wow 😘😘😘,4,2025-11-02,CBE,Google Play Store,POSITIVE,0.9992976188659668,wow 😘😘😘,wow,3,Highly Positive Feedback & Brand Perception
mobile banking broblem,5,2025-11-01,CBE,Google Play Store,NEGATIVE,0.9918060302734376,mobile banking broblem,mobile banking broblem,4,App Performance (Speed & Quality)
good job,5,2025-11-01,CBE,Google Play Store,POSITIVE,0.999835729598999,good job,good job,4,App Performance (Speed & Quality)
it is a good and clear apps to use,4,2025-10-31,CBE,Google Play Store,POSITIVE,0.9998574256896972,it is a good and clear apps to use,good clear app use,4,App Performance (Speed & Quality)
ለምንድን ነው ከንግድ ባንክ ወደ ቴሌብር 5 ብር ሲተላለፍ 11 ብር እንዲቆርጥ ያደረጋችሁት,1,2025-10-31,CBE,Google Play Store,NEGATIVE,0.929838240146637,ለምንድን ነው ከንግድ ባንክ ወደ ቴሌብር ብር ሲተላለፍ ብር እንዲቆርጥ ያደረጋችሁት,ለምንድን ነው ከንግድ ባንክ ወደ ቴሌብር ብር ሲተላለፍ ብር እንዲቆርጥ ያደረጋችሁት,4,App Performance (Speed & Quality)
i love this app b/c every option in the app very clear and supportive.,5,2025-10-30,CBE,Google Play Store,POSITIVE,0.9998561143875122,i love this app bc every option in the app very clear and supportive,love app bc option app clear supportive,1,Transaction & Service Reliability Issues
niiceh,5,2025-10-29,CBE,Google Play Store,POSITIVE,0.8779535293579102,niiceh,niiceh,0,App Malfunction & Technical Bugs
the app is good but their is no dark mode you have to add it,3,2025-10-29,CBE,Google Play Store,POSITIVE,0.9965399503707886,the app is good but their is no dark mode you have to add it,app good dark mode add,4,App Performance (Speed & Quality)
🤮,1,2025-10-29,CBE,Google Play Store,NEGATIVE,0.6970565915107727,🤮,,0,App Malfunction & Technical Bugs
abdulakim abrahim elemoo,5,2025-10-28,CBE,Google Play Store,POSITIVE,0.9634568691253662,abdulakim abrahim elemoo,abdulakim abrahim elemoo,0,App Malfunction & Technical Bugs
strong,5,2025-10-28,CBE,Google Play Store,POSITIVE,0.999862551689148,strong,strong,0,App Malfunction & Technical Bugs
abebaw zenebe,5,2025-10-28,CBE,Google Play Store,NEGATIVE,0.5422849655151367,abebaw zenebe,abebaw zenebe,0,App Malfunction & Technical Bugs
good i love it keep it up but if we had a new update that will be fire soo good,5,2025-10-27,CBE,Google Play Store,POSITIVE,0.9990962743759156,good i love it keep it up but if we had a new update that will be fire soo good,good love new update fire soo good,4,App Performance (Speed & Quality)
cbe,5,2025-10-27,CBE,Google Play Store,POSITIVE,0.9966009855270386,cbe,cbe,0,App Malfunction & Technical Bugs
active and granted system,5,2025-10-27,CBE,Google Play Store,POSITIVE,0.998322069644928,active and granted system,active grant system,2,"User Experience, Features & Security"
fast app,4,2025-10-26,CBE,Google Play Store,POSITIVE,0.9983617663383484,fast app,fast app,2,"User Experience, Features & Security"
cool 😎,5,2025-10-26,CBE,Google Play Store,POSITIVE,0.9997991919517516,cool 😎,cool,1,Transaction & Service Reliability Issues
galaxy a10s,3,2025-10-26,CBE,Google Play Store,POSITIVE,0.8983982801437378,galaxy as,galaxy,0,App Malfunction & Technical Bugs
the best apps,5,2025-10-26,CBE,Google Play Store,POSITIVE,0.9998617172241212,the best apps,good app,4,App Performance (Speed & Quality)
arif app new,5,2025-10-26,CBE,Google Play Store,NEGATIVE,0.5203981995582581,arif app new,arif app new,0,App Malfunction & Technical Bugs
laga bari biranch,5,2025-10-26,CBE,Google Play Store,NEGATIVE,0.9922856092453004,laga bari biranch,laga bari biranch,0,App Malfunction & Technical Bugs
ነነሠነሠሠነሠሠሠሠነየነ,5,2025-10-26,CBE,Google Play Store,NEGATIVE,0.6970565915107727,ነነሠነሠሠነሠሠሠሠነየነ,ነነሠነሠሠነሠሠሠሠነየነ,0,App Malfunction & Technical Bugs
i would like to suggest you improve the time out as it takes the money and doesn't return it back until the next day.,3,2025-10-25,CBE,Google Play Store,NEGATIVE,0.9949776530265808,i would like to suggest you improve the time out as it takes the money and doesnt return it back until the next day,like suggest improve time take money not return day,0,App Malfunction & Technical Bugs
attractive,5,2025-10-25,CBE,Google Play Store,POSITIVE,0.9998689889907836,attractive,attractive,3,Highly Positive Feedback & Brand Perception
mite,5,2025-10-24,CBE,Google Play Store,NEGATIVE,0.996557116508484,mite,mite,0,App Malfunction & Technical Bugs
useful,5,2025-10-24,CBE,Google Play Store,POSITIVE,0.9997634291648864,useful,useful,4,App Performance (Speed & Quality)
"not good, not bad!",3,2025-10-23,CBE,Google Play Store,NEGATIVE,0.9981550574302672,not good not bad,good bad,4,App Performance (Speed & Quality)
very good,5,2025-10-23,CBE,Google Play Store,POSITIVE,0.9998520612716676,very good,good,4,App Performance (Speed & Quality)
እጅግ በጣም አስቀያሚ ጠቁአም ዘረፋ በሚባል ደርጃ የ አገልግሎት የሚቀበል ያልሰራበትን የገዛ ገንዝበባችንን ተዘረፍን ከ 100ብር 10ብር የአገልግሎት ማስከፈል ምን ማለት ነው እባካችሁ እዩት እስትይ ከ ሞባይል ባንክ ወደ ampsa አስተላልፉና እዩት በጣም ይገርማል ሌባ ብያቸዋልሁ,1,2025-10-22,CBE,Google Play Store,NEGATIVE,0.9546589255332948,እጅግ በጣም አስቀያሚ ጠቁአም ዘረፋ በሚባል ደርጃ የ አገልግሎት የሚቀበል ያልሰራበትን የገዛ ገንዝበባችንን ተዘረፍን ከ ብር ብር የአገልግሎት ማስከፈል ምን ማለት ነው እባካችሁ እዩት እስትይ ከ ሞባይል ባንክ ወደ ampsa አስተላልፉና እዩት በጣም ይገርማል ሌባ ብያቸዋልሁ,እጅግ በጣም አስቀያሚ ጠቁአም ዘረፋ በሚባል ደርጃ የ አገልግሎት የሚቀበል ያልሰራበትን የገዛ ገንዝበባችንን ተዘረፍን ከ ብር ብር የአገልግሎት ማስከፈል ምን ማለት ነው እባካችሁ እዩት እስትይ ከ ሞባይል ባንክ ወደ ampsa አስተላልፉና እዩት በጣም ይገርማል ሌባ ብያቸዋልሁ,4,App Performance (Speed & Quality)
imp,5,2025-10-22,CBE,Google Play Store,NEGATIVE,0.9978600144386292,imp,imp,0,App Malfunction & Technical Bugs
super fast app,5,2025-10-21,CBE,Google Play Store,POSITIVE,0.9976546168327332,super fast app,super fast app,2,"User Experience, Features & Security"
"the app has a nice design and useful features like balance check and transfers, but it’s unstable and often fails to connect. it also forces users to turn off developer options, which is unnecessary — other banking apps work fine without that. many people use developer mode for normal reasons. please fix performance issues, remove this restriction, and add biometric login for better security and convenience",2,2025-10-19,CBE,Google Play Store,NEGATIVE,0.998361885547638,the app has a nice design and useful features like balance check and transfers but it’s unstable and often fails to connect it also forces users to turn off developer options which is unnecessary — other banking apps work fine without that many people use developer mode for normal reasons please fix performance issues remove this restriction and add biometric login for better security and convenience,app nice design useful feature like balance check transfer unstable fail connect force user turn developer option unnecessary banking app work fine people use developer mode normal reason fix performance issue remove restriction add biometric login well security convenience,0,App Malfunction & Technical Bugs
"it says ""ti is work any more in your device"" what can i do??",1,2025-10-18,CBE,Google Play Store,NEGATIVE,0.9991005659103394,it says ti is work any more in your device what can i do,say ti work device,0,App Malfunction & Technical Bugs
blah blah blah,5,2025-10-18,CBE,Google Play Store,NEGATIVE,0.997789978981018,blah blah blah,blah blah blah,0,App Malfunction & Technical Bugs
bad ግዴታ መሆንሁ,1,2025-10-17,CBE,Google Play Store,NEGATIVE,0.9995405673980712,bad ግዴታ መሆንሁ,bad ግዴታ መሆንሁ,1,Transaction & Service Reliability Issues
cbe no.1,5,2025-10-17,CBE,Google Play Store,POSITIVE,0.9968194961547852,cbe no,cbe,0,App Malfunction & Technical Bugs
"it's not work correctly when it's needed sometimes, but it works sometimes though",2,2025-10-16,CBE,Google Play Store,POSITIVE,0.996988832950592,its not work correctly when its needed sometimes but it works sometimes though,work correctly need work,0,App Malfunction & Technical Bugs
its easy to use and more secured than the previous one. i love it and appreciate commercial bank of ethiopia for every time update.,5,2025-10-16,CBE,Google Play Store,POSITIVE,0.999740183353424,its easy to use and more secured than the previous one i love it and appreciate commercial bank of ethiopia for every time update,easy use secured previous love appreciate commercial bank ethiopia time update,3,Highly Positive Feedback & Brand Perception
gooof,5,2025-10-16,CBE,Google Play Store,NEGATIVE,0.996545135974884,gooof,gooof,0,App Malfunction & Technical Bugs
"suddenly the cbe application i was using stopped working and called callcenter, i was told it's because it expired and i should vist any branch to fix it. so i went to cbe silassie branch.after filling a form they gave me, i sat down and waited until they finish fixing 2 customer's case who arrived before me. but then when it was my turn ppl who came after me with same mobile banking and even atm card cases were finishing up and leaving i had to get back to my work so i left.with no service.why?",1,2025-10-16,CBE,Google Play Store,NEGATIVE,0.9996702671051024,suddenly the cbe application i was using stopped working and called callcenter i was told its because it expired and i should vist any branch to fix it so i went to cbe silassie branchafter filling a form they gave me i sat down and waited until they finish fixing customers case who arrived before me but then when it was my turn ppl who came after me with same mobile banking and even atm card cases were finishing up and leaving i had to get back to my work so i leftwith no servicewhy,suddenly cbe application stop work call callcenter tell expire vist branch fix go cbe silassie branchafter fill form give sit wait finish fix customer case arrive turn ppl come mobile banking atm card case finish leave work leftwith servicewhy,0,App Malfunction & Technical Bugs
still not perfect like before,1,2025-10-15,CBE,Google Play Store,NEGATIVE,0.9995744824409484,still not perfect like before,perfect like,4,App Performance (Speed & Quality)
this app dash board is disturbing me. it is not showing me traxation and my balance while displaying others option on dashboard. i think it is a risk full app😭😭😭🤤🤤,1,2025-10-15,CBE,Google Play Store,NEGATIVE,0.9985210299491882,this app dash board is disturbing me it is not showing me traxation and my balance while displaying others option on dashboard i think it is a risk full app😭😭😭🤤🤤,app dash board disturb show traxation balance display option dashboard think risk app,0,App Malfunction & Technical Bugs
applied,1,2025-10-14,CBE,Google Play Store,POSITIVE,0.998971939086914,applied,apply,0,App Malfunction & Technical Bugs
10 years ago,4,2025-10-14,CBE,Google Play Store,POSITIVE,0.9060004353523254,years ago,year ago,0,App Malfunction & Technical Bugs
asefa obsa,5,2025-10-14,CBE,Google Play Store,NEGATIVE,0.9988316893577576,asefa obsa,asefa obsa,0,App Malfunction & Technical Bugs
it's good app,5,2025-10-14,CBE,Google Play Store,POSITIVE,0.9998689889907836,its good app,good app,4,App Performance (Speed & Quality)
very slow,1,2025-10-14,CBE,Google Play Store,NEGATIVE,0.9997065663337708,very slow,slow,4,App Performance (Speed & Quality)
berhan deriba wami,4,2025-10-14,CBE,Google Play Store,POSITIVE,0.7555697560310364,berhan deriba wami,berhan deriba wami,0,App Malfunction & Technical Bugs
mahamad usman,5,2025-10-13,CBE,Google Play Store,POSITIVE,0.9890894293785096,mahamad usman,mahamad usman,0,App Malfunction & Technical Bugs
erako,5,2025-10-13,CBE,Google Play Store,POSITIVE,0.997822403907776,erako,erako,0,App Malfunction & Technical Bugs
🔥🔥🔥🔥🔥,5,2025-10-13,CBE,Google Play Store,NEGATIVE,0.6970565915107727,🔥🔥🔥🔥🔥,,0,App Malfunction & Technical Bugs
opne,5,2025-10-13,CBE,Google Play Store,NEGATIVE,0.7972500920295715,opne,opne,0,App Malfunction & Technical Bugs
mehommd nuri,5,2025-10-13,CBE,Google Play Store,POSITIVE,0.9508018493652344,mehommd nuri,mehommd nuri,0,App Malfunction & Technical Bugs
providing very secure service.,5,2025-10-12,CBE,Google Play Store,POSITIVE,0.9993906021118164,providing very secure service,provide secure service,2,"User Experience, Features & Security"
apk አሪፍ ነው ግን በጣም apkwun የሚከፍቱ የ ባንክ ሰራተኞች በጣም ደካማ ናቸው ሲያስተናግዱ ለ ደንበኛ ክብር የላቸውም እኔ መመላለስ ከጀመርኩ ቆየው ግን መፍትህ ላገኝ አልችልኩም ::,1,2025-10-12,CBE,Google Play Store,NEGATIVE,0.9760127663612366,apk አሪፍ ነው ግን በጣም apkwun የሚከፍቱ የ ባንክ ሰራተኞች በጣም ደካማ ናቸው ሲያስተናግዱ ለ ደንበኛ ክብር የላቸውም እኔ መመላለስ ከጀመርኩ ቆየው ግን መፍትህ ላገኝ አልችልኩም,apk አሪፍ ነው ግን በጣም apkwun የሚከፍቱ የ ባንክ ሰራተኞች በጣም ደካማ ናቸው ሲያስተናግዱ ለ ደንበኛ ክብር የላቸውም እኔ መመላለስ ከጀመርኩ ቆየው ግን መፍትህ ላገኝ አልችልኩም,4,App Performance (Speed & Quality)
